,,,,,oral_scc,oral_non,oral_lip_scc,oral_lip_non,oral_tongue_scc,oral_tongue_non,oral_salivary_scc,oral_salivary_non,oral_floor_scc,oral_floor_non,oral_gum_scc,oral_gum_non,oral_nasopharynx_scc,oral_nasopharynx_non,oral_tonsil_scc,oral_tonsil_non,oral_oropharynx_scc,oral_oropharynx_non,oral_hypopharynx_scc,oral_hypopharynx_non,oral_other_scc,oral_other_non
  GA: Fayette County (13113),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Fayette County (13113),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2000-2004,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2005-2009,male,0-44,hw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
  GA: Floyd County (13115),2005-2009,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2010-2013,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2010-2013,male,45-64,hw,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2010-2013,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2010-2013,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Floyd County (13115),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2000-2004,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2005-2009,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2005-2009,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2010-2013,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2010-2013,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2010-2013,male,65+,hw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
  GA: Forsyth County (13117),2010-2013,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Forsyth County (13117),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2000-2004,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2005-2009,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2005-2009,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2010-2013,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2010-2013,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2010-2013,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2010-2013,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Franklin County (13119),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2000-2004,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2005-2009,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2005-2009,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2005-2009,male,65+,hw,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2010-2013,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2010-2013,male,45-64,hw,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2010-2013,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2010-2013,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gilmer County (13123),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2000-2004,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2005-2009,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2005-2009,male,45-64,hw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2010-2013,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2010-2013,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2010-2013,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2010-2013,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Glynn County (13127),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2000-2004,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2005-2009,male,0-44,hw,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2005-2009,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2010-2013,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2010-2013,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2010-2013,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2010-2013,female,0-44,hw,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Gordon County (13129),2010-2013,female,45-64,hw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Gordon County (13129),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2000-2004,male,45-64,hw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
  GA: Grady County (13131),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2005-2009,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2005-2009,male,45-64,hw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2010-2013,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2010-2013,male,45-64,hw,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2010-2013,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2010-2013,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Grady County (13131),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2000-2004,male,45-64,hw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
  GA: Habersham County (13137),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2005-2009,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2005-2009,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2010-2013,male,0-44,hw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Habersham County (13137),2010-2013,male,45-64,hw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Habersham County (13137),2010-2013,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2010-2013,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Habersham County (13137),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2000-2004,male,0-44,hw,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2000-2004,male,45-64,hw,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2005-2009,male,0-44,hw,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2005-2009,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2010-2013,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2010-2013,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2010-2013,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2010-2013,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Hall County (13139),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2000-2004,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2005-2009,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2005-2009,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2005-2009,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2005-2009,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2010-2013,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2010-2013,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2010-2013,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2010-2013,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2010-2013,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Haralson County (13143),2010-2013,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2000-2004,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2000-2004,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2000-2004,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2000-2004,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2000-2004,female,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2000-2004,female,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2005-2009,male,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2005-2009,male,45-64,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2005-2009,male,65+,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Harris County (13145),2005-2009,female,0-44,hw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
